"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"832","5 jobs I've had
- counting people entering into @Nike shop in Milano <U+0001F914>
- prepare gift packages 
- make people taste… https://t.co/vaJPxepGgL",FALSE,0,NA,2019-05-09 09:38:26,TRUE,NA,"1126421158251966466",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mbonfiglio",0,FALSE,FALSE,NA,NA
"833","@Nike @nikebasketball drop the Antetokounmpo 1s you cowards",FALSE,0,"Nike",2019-05-09 09:38:11,FALSE,NA,"1126421093407969284","415859364","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ivanthinkin",0,FALSE,FALSE,NA,NA
"834","@Cedreeezy @Nike @Jumpman23 They don’t make em like they used to. Someone done wore demm kicks cuzzo",FALSE,0,"Cedreeezy",2019-05-09 09:36:16,FALSE,"1126325231864311808","1126420612396638208","47466197","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jonayethan",0,FALSE,FALSE,NA,NA
"835","RT @Nike: Never slow down for the world, one day it will catch-up with you. #justdoit @caster800m https://t.co/qKoVEsCMJP",FALSE,0,NA,2019-05-09 09:35:54,FALSE,NA,"1126420519396548609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nonku_chilli",10792,TRUE,FALSE,NA,NA
"836","RT @Nike: Show them what crazy dreams can do. #justdoit https://t.co/3fo2XMVkBT",FALSE,0,NA,2019-05-09 09:31:26,FALSE,NA,"1126419395356524544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ramziyy",195896,TRUE,FALSE,NA,NA
"837","@Nike it’s my birthday on the 11th, the day @trvisXX’s jordans release. I’m hoping to cop a pair... but why do I ha… https://t.co/Ybbq0RUUYd",FALSE,0,"Nike",2019-05-09 09:27:33,TRUE,NA,"1126418418779983873","415859364","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OliverTwist_420",0,FALSE,FALSE,NA,NA
"838","RT @kate_gdretail: Sportswear retailers showing the rest of the clothing &amp; footwear market how it's done - @adidas wins our Best Clothing R…",FALSE,0,NA,2019-05-09 09:25:14,FALSE,NA,"1126417834660311041",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pat_gdretail",4,TRUE,FALSE,NA,NA
"839","@IFBpaul @RT_com @Nike What y'all see as an even playing field is one tilted in your favour.",FALSE,0,"IFBpaul",2019-05-09 09:24:41,FALSE,"1126347584375640065","1126417697749618689","3522204795","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DeborahKean",0,FALSE,FALSE,NA,NA
"840","@Njabstyle7 @HumanlyAwkward You could have sold that @Nike top if you was really waiting for cabbage money",FALSE,0,"Njabstyle7",2019-05-09 09:22:12,FALSE,"1126168656206020609","1126417071116562433","2963821367","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FreakOfNatureZ",0,FALSE,FALSE,NA,NA
"841","@Nike Nike Air Force 1 High By You Custom Men's Shoe https://t.co/jMDaARTphc",FALSE,0,"Nike",2019-05-09 09:21:47,FALSE,NA,"1126416968779694080","415859364","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GangsteRbleaT",0,FALSE,FALSE,NA,NA
"842","Sportswear retailers showing the rest of the clothing &amp; footwear market how it's done - @adidas wins our Best Cloth… https://t.co/jOjfr91Plk",FALSE,2,NA,2019-05-09 09:20:48,TRUE,NA,"1126416720510562304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kate_gdretail",4,FALSE,FALSE,NA,NA
"843","RT @endclothing: Registration is now open at https://t.co/S2a92sT3gw for the @Nike x Sacai LDWaffle in Varsity Blue (£139). Draw closes 16t…",FALSE,0,NA,2019-05-09 09:19:52,FALSE,NA,"1126416484069036032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xerhii",29,TRUE,FALSE,NA,NA
"844","@Nike just wanted to thank Sophie for her excellent customer service in resolving our delivery issue. Many thanks",FALSE,0,"Nike",2019-05-09 09:19:35,FALSE,NA,"1126416412036292608","415859364","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MoragFerguson67",0,FALSE,FALSE,NA,NA
"845","RT @endclothing: Registration is now open at https://t.co/LMFXHA6FG5 for the @Nike x Sacai LDWaffle in Green Gusto (£139). Draw closes 16th…",FALSE,0,NA,2019-05-09 09:19:31,FALSE,NA,"1126416397758750720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xerhii",19,TRUE,FALSE,NA,NA
"846","@Strmopus @Nike @NikeNYC Looks nice man <U+0001F525> for future reference Nike uses Futura in all their ADS its the brands main font",FALSE,0,"Strmopus",2019-05-09 09:17:25,FALSE,"1126204780492333057","1126415866453610497","701083955","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leon_elias1",0,FALSE,FALSE,NA,NA
"847","@Nike  Kyrie 5 By You Custom Basketball Shoe https://t.co/QaREaxv0yb",FALSE,1,"Nike",2019-05-09 09:16:36,FALSE,NA,"1126415662015033350","415859364","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GangsteRbleaT",2,FALSE,FALSE,NA,NA
"848","RT @Nike: Never stop chasing your crazy dream. #justdoit 

@TigerWoods https://t.co/q9OV6oGLDN",FALSE,0,NA,2019-05-09 09:14:46,FALSE,NA,"1126415202713505792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stuartmckergow",108783,TRUE,FALSE,NA,NA
"849","@Nike WHAT NEEDS TO BE DONE MUST BE DONE. @NIKE #NIKERUNNING #NRC https://t.co/XxIiNkTOJ4",FALSE,0,"smokijay",2019-05-09 09:13:10,FALSE,"1125315585544458240","1126414800035176448","43522122","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","smokijay",0,FALSE,FALSE,NA,NA
"850","Good lord they have to stop doing this to me. 

Want!

These @Nike ACG trainers are fantastic. https://t.co/nWxR42JIHt",FALSE,3,NA,2019-05-09 09:11:51,FALSE,NA,"1126414467137454080",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SockCouncil",0,FALSE,FALSE,NA,NA
"851","RT @JoshuaKissi: Latest :  @TONL x @nike have partnered to tell the stories of women of color in sports. It was amazing to witness how driv…",FALSE,0,NA,2019-05-09 09:11:50,FALSE,NA,"1126414462750220288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","urbandelice",119,TRUE,FALSE,NA,NA
"852","@Nike y’all are sneaky af in your outlets. I saw when I went u had a shoe at $69.99 &amp; left then came back the next… https://t.co/SikCWCql3A",FALSE,0,"Nike",2019-05-09 09:10:23,TRUE,NA,"1126414097820540928","415859364","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gonzaushi",0,FALSE,FALSE,NA,NA
"853","RT @endclothing: Registration is now open at https://t.co/S2a92sT3gw for the @Nike x Sacai LDWaffle in Varsity Blue (£139). Draw closes 16t…",FALSE,0,NA,2019-05-09 09:08:45,FALSE,NA,"1126413689014444034",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mikefresh124",29,TRUE,FALSE,NA,NA
"854","RT @endclothing: Registration is now open at https://t.co/S2a92sT3gw for the @Nike x Sacai LDWaffle in Varsity Blue (£139). Draw closes 16t…",FALSE,0,NA,2019-05-09 09:08:33,FALSE,NA,"1126413637642539008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DjPNasty1",29,TRUE,FALSE,NA,NA
"855","RT @sneakersnstuff: Unpicked pairs of the @Nike Air Max 97 On Air 'London Summer of Love' are now available online @sneakersnstuff <U+0001F440> --- ht…",FALSE,0,NA,2019-05-09 09:08:11,FALSE,NA,"1126413546429005826",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brandonkelly17",13,TRUE,FALSE,NA,NA
"856","RT @sneakersnstuff: Unpicked pairs of the @Nike Air Max 97 On Air 'London Summer of Love' are now available online @sneakersnstuff <U+0001F440> --- ht…",FALSE,0,NA,2019-05-09 09:06:47,FALSE,NA,"1126413192048140293",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","unreaxhable",13,TRUE,FALSE,NA,NA
"857","@sneakersnstuff @Nike <U+0001F440> on sale?!",FALSE,0,"sneakersnstuff",2019-05-09 09:06:21,FALSE,"1126412920869588993","1126413084506169344","22011681","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mny_mrk",0,FALSE,FALSE,NA,NA
"858","RT @sneakersnstuff: Unpicked pairs of the @Nike Air Max 97 On Air 'London Summer of Love' are now available online @sneakersnstuff <U+0001F440> --- ht…",FALSE,0,NA,2019-05-09 09:05:55,FALSE,NA,"1126412976238600192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DjPNasty1",13,TRUE,FALSE,NA,NA
"859","Unpicked pairs of the @Nike Air Max 97 On Air 'London Summer of Love' are now available online @sneakersnstuff <U+0001F440> --… https://t.co/Rc3UzUyJcZ",FALSE,37,NA,2019-05-09 09:05:42,TRUE,NA,"1126412920869588993",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sneakersnstuff",13,FALSE,FALSE,NA,NA
"860","@Skreamies @Nike @nikestore I’ve dm’d Nike",FALSE,0,"Skreamies",2019-05-09 09:03:25,FALSE,"1126412056347983872","1126412344597336064","1656420602","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoshuaC64726947",0,FALSE,FALSE,NA,NA
"861","@JoshuaC64726947 @Nike @nikestore Hopefully, it's a crazy price change",FALSE,0,"JoshuaC64726947",2019-05-09 09:02:16,FALSE,"1126407832226750464","1126412056347983872","1118133162201292800","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Skreamies",0,FALSE,FALSE,NA,NA
"862","If nike wanna do a deal I'm with it now @Nike i got some crazy designs for yall holla at me",FALSE,1,NA,2019-05-09 09:01:08,FALSE,NA,"1126411769642090496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yungrichfreshbx",0,FALSE,FALSE,NA,NA
"863","Get competitive ready with these high performance @Nike trainers. You might not win the race but at least your foot… https://t.co/67d35ZOMng",FALSE,0,NA,2019-05-09 09:00:34,TRUE,NA,"1126411626465329152",NA,"<a href=""https://app.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","KingsgateRp",0,FALSE,FALSE,NA,NA
"864","@Nike Awkward comma splice error.",FALSE,0,"Nike",2019-05-09 08:58:15,FALSE,"1124430302846148609","1126411046120562688","415859364","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","saffarockhopper",0,FALSE,FALSE,NA,NA
"865","@Nike Comma splice error, Nike.",FALSE,0,"Nike",2019-05-09 08:57:37,FALSE,"1124361830917398530","1126410887416492033","415859364","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","saffarockhopper",0,FALSE,FALSE,NA,NA
"866","RT @boreka89: @Nike @caster800m Outliers lead the way!

Thanks Nike for being the outlier!

My family of six will now follow Nike as the le…",FALSE,0,NA,2019-05-09 08:57:25,FALSE,NA,"1126410833427423233",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Metja33202246",1,TRUE,FALSE,NA,NA
"867","RT @sneakersnstuff: The @Nike Wmns P-6000 has now released online &amp; in-store (Paris, London, Berlin, Stockholm) in US Wm 5.5 - US Wm 14 ---…",FALSE,0,NA,2019-05-09 08:56:07,FALSE,NA,"1126410508758810624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mvt_nev",2,TRUE,FALSE,NA,NA
"868","Is this true @nike ? What were some y'all favorite air force editions? https://t.co/wKwRiGIEIs",FALSE,0,NA,2019-05-09 08:54:59,FALSE,NA,"1126410224611409920",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","getfamiliarclub",0,FALSE,FALSE,NA,NA
"869","thanks @Nike <U+0001F486><U+0001F3FD><U+200D><U+2642><U+FE0F> https://t.co/m12Vfh7EJ8",FALSE,0,NA,2019-05-09 08:48:19,FALSE,NA,"1126408545849741312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","harisrei",0,FALSE,FALSE,NA,NA
"870","RT @Max_Orrin: Little bit wet this morning <U+2614><U+FE0F> but @british_masters prep <U+2705> @deanpalmbay on the bag.. Can’t wait to tee it up in a home event…",FALSE,0,NA,2019-05-09 08:47:27,FALSE,NA,"1126408326902759424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SteveOrrin",3,TRUE,FALSE,NA,NA
"871","@supxfueled @Nike Moving in silence don't mean it's movin' slow <U+0001F440>",FALSE,0,"supxfueled",2019-05-09 08:47:15,FALSE,"1126381475325198336","1126408274964897794","478075774","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sneakersnstuff",0,FALSE,FALSE,NA,NA
"872","@Skreamies @Nike @nikestore Yeah I’m having the same thing I know it will probs be a bug but making sure",FALSE,1,"Skreamies",2019-05-09 08:45:29,FALSE,"1126371558346379264","1126407832226750464","1656420602","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoshuaC64726947",0,FALSE,FALSE,NA,NA
"873","@DJMeadows7 @Nike @nikestore The old Nike saville 5.0, that’s it, cheers mon!",FALSE,1,"DJMeadows7",2019-05-09 08:44:16,FALSE,"1126399010863034369","1126407525438562304","706113202334113793","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Peptoralismajor",0,FALSE,FALSE,NA,NA
"874","RT @Women_Win: Meet Lemya, a teacher from Paris, who will continue working with @bigbangballers in Seine Saint Denis, the poorest district…",FALSE,0,NA,2019-05-09 08:43:26,FALSE,NA,"1126407317761740800",NA,"<a href=""http://www.swagafied.com"" rel=""nofollow"">Swagafied</a>","swagafiedkicks",1,TRUE,FALSE,NA,NA
"875","@JoshuaKissi @TONL @Nike Amazing work fam <U+0001F499>",FALSE,1,"JoshuaKissi",2019-05-09 08:43:17,FALSE,"1126203534767198210","1126407276858892288","16021132","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AbrahamAsefaw",0,FALSE,FALSE,NA,NA
"876","RT @JoshuaKissi: Latest :  @TONL x @nike have partnered to tell the stories of women of color in sports. It was amazing to witness how driv…",FALSE,0,NA,2019-05-09 08:43:01,FALSE,NA,"1126407209800351744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AbrahamAsefaw",119,TRUE,FALSE,NA,NA
"877","RT @GLJhub: Women garment workers in @Nike supplier factories in #SriLanka are being worked to death. It’s time for #Nike to end gender bas…",FALSE,0,NA,2019-05-09 08:42:27,FALSE,NA,"1126407068527648768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kokomkomalawat1",1,TRUE,FALSE,NA,NA
"878","reunited with my girl @brooklyncri <U+0001F64A><U+2764><U+FE0F> @Nike https://t.co/j9rsYLx8Vr",FALSE,2,NA,2019-05-09 08:40:42,FALSE,NA,"1126406627261857792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brookenbrown",0,FALSE,FALSE,NA,NA
"879","@IamKalikawe @Samagoal10 @Nike @ManCity @sterling7 @shaffihdauda1 @VincentKompany @SunSport @RobbieJBarratt… https://t.co/yQXAgf8QAt",FALSE,0,"IamKalikawe",2019-05-09 08:39:58,TRUE,"1126388243879071744","1126406443358392320","361087145","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FootieIndexChat",0,FALSE,FALSE,NA,NA
"880","@Nike @Twitch Why would u change the EU release time of the mars shoe by 30 minutes last minute? I put an alarm for… https://t.co/tb5qt946f2",FALSE,0,"Nike",2019-05-09 08:38:30,TRUE,"1085160032331739138","1126406074633003008","415859364","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tom67907674",0,FALSE,FALSE,NA,NA
"881","The most depressing screen, and I see too many of them. @Nike https://t.co/VTsppIGBQ8",FALSE,0,NA,2019-05-09 08:37:38,FALSE,NA,"1126405855467986944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ashfield_jack",0,FALSE,FALSE,NA,NA
"882","RT @endclothing: Registration is now open at https://t.co/LMFXHA6FG5 for the @Nike x Sacai LDWaffle in Green Gusto (£139). Draw closes 16th…",FALSE,0,NA,2019-05-09 08:37:13,FALSE,NA,"1126405751788929025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","arckemedis",19,TRUE,FALSE,NA,NA
"883","RT @Nike: Never slow down for the world, one day it will catch-up with you. #justdoit https://t.co/xx2UzmQ0Bw",FALSE,0,NA,2019-05-09 08:36:32,FALSE,NA,"1126405581059706880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","4modeerf",7027,TRUE,FALSE,NA,NA
"884","RT @Nike: Never slow down for the world, one day it will catch-up with you. #justdoit @caster800m https://t.co/qKoVEsCMJP",FALSE,0,NA,2019-05-09 08:31:40,FALSE,NA,"1126404356243222528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","godfreyzz16",10792,TRUE,FALSE,NA,NA
"885","@alexisohanian @Nike Soooo cool!",FALSE,0,"alexisohanian",2019-05-09 08:31:06,FALSE,"1126106047029088262","1126404213351665664","811350","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BigDataGal",0,FALSE,FALSE,NA,NA
"886","RT @endclothing: Registration is now open at https://t.co/S2a92sT3gw for the @Nike x Sacai LDWaffle in Varsity Blue (£139). Draw closes 16t…",FALSE,0,NA,2019-05-09 08:30:11,FALSE,NA,"1126403981612335105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","arckemedis",29,TRUE,FALSE,NA,NA
"887","@JoshuaKissi @TONL @Nike R.E.S.P.E.C.T. all the way from Sydney, via London and Accra! <U+0001F44F><U+0001F3FE>",FALSE,1,"JoshuaKissi",2019-05-09 08:19:43,FALSE,"1126203534767198210","1126401347417337856","16021132","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamghettosmurf",0,FALSE,FALSE,NA,NA
"888","Proud to see @Nike's Nothing Beats A Londoner named Best in Book in this year's @CreativeReview Annual <U+0001F64C> https://t.co/kE6gSw1SIn",FALSE,15,NA,2019-05-09 08:14:16,FALSE,NA,"1126399975850639360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WKLondon",1,FALSE,FALSE,NA,NA
"889","Meet Lemya, a teacher from Paris, who will continue working with @bigbangballers in Seine Saint Denis, the poorest… https://t.co/F34sfA9Ynt",FALSE,3,NA,2019-05-09 08:14:03,TRUE,NA,"1126399919802200064",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Women_Win",1,FALSE,FALSE,NA,NA
"890","In the Running: No surprises that @Nike ads feature big time in the @AICProducers single commercials shortlist. Tak… https://t.co/ai7a29Ptig",FALSE,2,NA,2019-05-09 08:13:44,TRUE,NA,"1126399842920685570",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","onepoint4",0,FALSE,FALSE,NA,NA
"891","@VINNYV2511 @Nike Aye chill don’t disrespect the brand",FALSE,1,"VINNYV2511",2019-05-09 08:12:08,FALSE,"1126177677428150273","1126399440628199424","466651573","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Theyoungunit2",0,FALSE,FALSE,NA,NA
"892","RT @Nike: Show them what crazy dreams can do. #justdoit https://t.co/3fo2XMVkBT",FALSE,0,NA,2019-05-09 08:11:58,FALSE,NA,"1126399397774815233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","syubamalin",195896,TRUE,FALSE,NA,NA
"893","Dream crazier 
———————
How many things can you do with a @nike Trainer!? 
They said is impossible... I said It is P… https://t.co/4If2m58eG5",FALSE,0,NA,2019-05-09 08:11:22,TRUE,NA,"1126399244468924417",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","soniabenito29",0,FALSE,FALSE,"-0.1089345","51.5198162"
